actor_a,actor_b,weight,shared
GeunCheolOh,andreibesleaga,1,1
GeunCheolOh,andy1213aa,1,1
GeunCheolOh,binbandit,1,1
GeunCheolOh,daltonnyx,1,1
GeunCheolOh,darkhaniop,1,1
GeunCheolOh,darrelmiller,1,1
GeunCheolOh,davrous,1,1
GeunCheolOh,dchrty,1,1
GeunCheolOh,didier-durand,1,1
GeunCheolOh,egor-baranov,1,1
GeunCheolOh,gate4ai-alex,1,1
GeunCheolOh,guglielmo-san,1,1
GeunCheolOh,haxudev,1,1
GeunCheolOh,herczyn,1,1
GeunCheolOh,izzymsft,1,1
GeunCheolOh,jonigl,1,1
GeunCheolOh,kimsr96,1,1
GeunCheolOh,logan272,1,1
GeunCheolOh,moonbox3,1,1
GeunCheolOh,ognis1205,1,1
GeunCheolOh,pascal910107,1,1
GeunCheolOh,powmax-commits,1,1
GeunCheolOh,princejha95,1,1
GeunCheolOh,pstephengoogle,1,1
GeunCheolOh,rajeshvelicheti,1,1
GeunCheolOh,robert-at-pretension-io,1,1
GeunCheolOh,shamblett,1,1
GeunCheolOh,tangpingqingwa,1,1
GeunCheolOh,vongosling,1,1
GeunCheolOh,whitlockjc,1,1
GeunCheolOh,yarolegovich,1,1
GeunCheolOh,zeroasterisk,1,1
Guidosalimbeni,dayuyang1999,1,1
Guidosalimbeni,liar666,1,1
Guidosalimbeni,lrosenthol,1,1
HV9903,dayuyang1999,1,1
HV9903,liar666,1,1
HV9903,lrosenthol,1,1
HadjievK,dayuyang1999,1,1
HadjievK,liar666,1,1
HadjievK,lrosenthol,1,1
HaohanTsao,Lancetnik,1,2
HaohanTsao,abdibrokhim,1,1
HaohanTsao,ajaynagotha,1,1
HaohanTsao,bkowal,1,1
HaohanTsao,bparees,1,1
HaohanTsao,buithehai1994,1,1
HaohanTsao,dukeren,1,1
HaohanTsao,hamidra,1,1
HaohanTsao,justfalter,1,1
HaohanTsao,mbleigh,1,1
HaohanTsao,sfitts,1,1
HaohanTsao,vladkol,1,1
HaohanTsao,wenwenc9,1,1
HaohanTsao,yarolegovich,1,3
HeetVekariya,abdibrokhim,1,1
HeetVekariya,ajaynagotha,1,1
HeetVekariya,bkowal,1,1
HeetVekariya,bparees,1,1
HeetVekariya,buithehai1994,1,1
HeetVekariya,dayuyang1999,1,2
HeetVekariya,dukeren,1,1
HeetVekariya,hamidra,1,1
HeetVekariya,justfalter,1,1
HeetVekariya,liar666,1,2
HeetVekariya,lrosenthol,1,1
HeetVekariya,mbleigh,1,1
HeetVekariya,sfitts,1,2
HeetVekariya,vladkol,1,1
HeetVekariya,wenwenc9,1,2
HomeroRR,MaoJianwei,1,1
HomeroRR,ZapzCsgo,1,1
HomeroRR,muscariello,1,1
HomeroRR,pwwpche,1,1
HomeroRR,sfitts,1,1
HomeroRR,xtrasmal,1,1
HungYangChang,c-mysec,1,2
HungYangChang,cdavernas,1,3
HungYangChang,dayuyang1999,1,1
HungYangChang,ishymko,1,1
HungYangChang,justfalter,2,2
HungYangChang,liar666,1,1
HungYangChang,lrosenthol,1,1
IhateCreatingUserNames2,dayuyang1999,1,1
IhateCreatingUserNames2,liar666,1,1
IhateCreatingUserNames2,lrosenthol,1,1
IhateCreatingUserNames2,xui-will,1,1
JKHeadley,Lancetnik,1,2
JKHeadley,dayuyang1999,1,1
JKHeadley,liar666,1,1
JKHeadley,lrosenthol,1,1
JKHeadley,yarolegovich,1,1
JMLX42,xui-will,1,1
Jai0401,abdibrokhim,1,1
Jai0401,ajaynagotha,1,1
Jai0401,bkowal,1,1
Jai0401,bparees,1,1
Jai0401,hamidra,1,1
Jai0401,justfalter,1,1
Jai0401,mbleigh,1,1
Jai0401,sfitts,1,1
Jai0401,vladkol,1,1
Jaland,dayuyang1999,1,1
Jaland,liar666,1,1
Jaland,lrosenthol,1,1
JanPokorny,abdibrokhim,1,1
JanPokorny,ajaynagotha,1,1
JanPokorny,bkowal,1,1
JanPokorny,bparees,1,1
JanPokorny,hamidra,1,1
JanPokorny,justfalter,1,1
JanPokorny,mbleigh,1,1
JanPokorny,sfitts,1,1
JanPokorny,vladkol,1,1
JeromeOvO,xui-will,1,1
JerryDaHeLian,dayuyang1999,1,1
JerryDaHeLian,liar666,1,1
JerryDaHeLian,lrosenthol,1,1
JetsettingJames,dayuyang1999,1,1
JetsettingJames,liar666,1,1
JetsettingJames,lrosenthol,1,1
JinyongShin,dayuyang1999,1,1
JinyongShin,liar666,1,1
JinyongShin,lrosenthol,1,1
Joapfel,abdibrokhim,1,1
Joapfel,ajaynagotha,1,1
Joapfel,bkowal,1,1
Joapfel,bparees,1,1
Joapfel,hamidra,1,1
Joapfel,justfalter,1,1
Joapfel,mbleigh,1,1
Joapfel,sfitts,1,1
Joapfel,vladkol,1,1
KanchiShimono,abdibrokhim,1,1
KanchiShimono,ajaynagotha,1,1
KanchiShimono,bkowal,1,1
KanchiShimono,bparees,1,1
KanchiShimono,hamidra,1,1
KanchiShimono,justfalter,1,1
KanchiShimono,mbleigh,1,1
KanchiShimono,sfitts,1,1
KanchiShimono,vladkol,1,1
Kevin1466,buithehai1994,1,1
Kevin1466,dayuyang1999,1,1
Kevin1466,dukeren,1,1
Kevin1466,liar666,1,2
Kevin1466,lrosenthol,1,1
Kevin1466,wenwenc9,1,2
KiteSoar,ishymko,1,1
KiteSoar,justfalter,1,1
Kludex,c-mysec,1,2
Kludex,cdavernas,1,2
Kludex,justfalter,1,2
KomachiSion,abdibrokhim,1,1
KomachiSion,ajaynagotha,1,2
KomachiSion,bkowal,1,1
KomachiSion,bparees,1,1
KomachiSion,dayuyang1999,1,2
KomachiSion,hamidra,1,1
KomachiSion,ishymko,1,2
KomachiSion,justfalter,2,2
KomachiSion,liar666,1,1
KomachiSion,lrosenthol,1,1
KomachiSion,mbleigh,1,1
KomachiSion,sfitts,1,2
KomachiSion,vladkol,1,1
KrshnKush,MaoJianwei,1,1
KrshnKush,ZapzCsgo,1,2
KrshnKush,abdibrokhim,1,1
KrshnKush,ajaynagotha,1,2
KrshnKush,bkowal,1,1
KrshnKush,bparees,1,2
KrshnKush,hamidra,1,1
KrshnKush,ishymko,1,2
KrshnKush,justfalter,2,3
KrshnKush,mbleigh,1,1
KrshnKush,muscariello,1,3
KrshnKush,pwwpche,1,2
KrshnKush,sfitts,2,2
KrshnKush,vladkol,1,1
KrshnKush,xtrasmal,1,2
LI-Jinyang,MaoJianwei,1,1
LI-Jinyang,ZapzCsgo,1,1
LI-Jinyang,muscariello,1,1
LI-Jinyang,pwwpche,1,1
LI-Jinyang,sfitts,1,1
LI-Jinyang,xtrasmal,1,1
Lancetnik,LucaButBoring,1,2
Lancetnik,MaoJianwei,1,1
Lancetnik,Midnight-719,1,1
Lancetnik,Phil-Hills,1,3
Lancetnik,Pray4Love1,1,1
Lancetnik,ReubenBond,1,3
Lancetnik,SecretiveShell,1,1
Lancetnik,SecureAgentTools,1,2
Lancetnik,Tehsmash,1,3
Lancetnik,The-Nexus-Guard,1,3
Lancetnik,ToddSegal,1,3
Lancetnik,ZapzCsgo,1,2
Lancetnik,aeoess,1,1
Lancetnik,aglicacha,1,3
Lancetnik,aickin,1,3
Lancetnik,aimable100,1,1
Lancetnik,alan-silverstreams,1,2
Lancetnik,alextibbles,1,1
Lancetnik,amye,1,3
Lancetnik,beonde,1,3
Lancetnik,bgauryy,1,1
Lancetnik,chorghemaruti64-creator,1,4
Lancetnik,clintwar,1,1
Lancetnik,darkhaniop,1,4
Lancetnik,darrelmiller,1,4
Lancetnik,dasiths,1,1
Lancetnik,davidlivekoo2012,1,3
Lancetnik,dayuyang1999,1,3
Lancetnik,deepakskhetwal,1,2
Lancetnik,devsodhirao,1,1
Lancetnik,dfdumaresq,1,1
Lancetnik,dhdanie,1,3
Lancetnik,didier-durand,1,3
Lancetnik,dmandar,1,4
