actor_a,actor_b,weight,shared
Bakugo32,brienteth,1,2
Bakugo32,cadenceprotocol,2,2
Bakugo32,clavote-boop,2,2
Bakugo32,clawplaza,3,3
Bakugo32,cmayorga,7,8
Bakugo32,cody,1,2
Bakugo32,comeToThinkOfEth,1,1
Bakugo32,damonzwicker,2,2
Bakugo32,daniel-ospina,1,2
Bakugo32,davidecrapis.eth,4,5
Bakugo32,dcrapis,3,4
Bakugo32,debug-0,1,1
Bakugo32,deiu,2,4
Bakugo32,denverbaumgartner,2,2
Bakugo32,dievardump,1,1
Bakugo32,douglasborthwick-cry,1,2
Bakugo32,douglasborthwick-crypto,2,2
Bakugo32,drmattbarney,1,2
Bakugo32,ernestognw,1,1
Bakugo32,felixnorden,3,3
Bakugo32,freaks,1,1
Bakugo32,fulldecent,1,1
Bakugo32,gilbertsahumada,1,2
Bakugo32,gpt3_eth,2,2
Bakugo32,hjs_foundation,1,1
Bakugo32,ibonon,3,5
Bakugo32,jdutreve,1,1
Bakugo32,jithinraj,1,1
Bakugo32,jkm.eth,3,3
Bakugo32,joanna,1,1
Bakugo32,jochem-brouwer,5,7
Bakugo32,jonmross,4,5
Bakugo32,kgyashupal,1,1
Bakugo32,khemiriwalid,1,1
Bakugo32,kimbo128,4,4
Bakugo32,kinglouis,1,1
Bakugo32,leonprou,1,1
Bakugo32,lisenokdonbassenok,1,1
Bakugo32,mac,1,1
Bakugo32,maceip,1,1
Bakugo32,matevz-oasis,2,3
Bakugo32,mgrabina,1,1
Bakugo32,michaelwinczuk,3,5
Bakugo32,micheda,1,1
Bakugo32,mike-diamond,4,5
Bakugo32,miratisu,5,7
Bakugo32,mlegls,4,4
Bakugo32,mrocker,6,6
Bakugo32,mruderman,1,1
Bakugo32,mruderman1,1,1
Bakugo32,nabil-brickken,1,1
Bakugo32,nftprof,1,1
Bakugo32,nicobernad,2,2
Bakugo32,node0,1,1
Bakugo32,noemiplatform,1,1
Bakugo32,nuhgid,1,1
Bakugo32,nxt3d,5,5
Bakugo32,opwizardx,1,1
Bakugo32,orgtrust.eth,2,2
Bakugo32,pablocactus,9,11
Bakugo32,pcarranzav,2,3
Bakugo32,peersky,1,1
Bakugo32,phiraml,2,4
Bakugo32,qinwang-git,1,1
Bakugo32,rithikha,1,1
Bakugo32,riza,1,1
Bakugo32,ryanberckmans,1,1
Bakugo32,ryanio,5,5
Bakugo32,sarkazein,1,1
Bakugo32,sebastianwall,1,1
Bakugo32,skilesare,1,1
Bakugo32,smolfren,1,1
Bakugo32,soispoke,1,1
Bakugo32,spengrah,2,3
Bakugo32,sterlingcrispin,1,1
Bakugo32,system,2,3
Bakugo32,tantodefi,1,1
Bakugo32,ten-io-meta,2,3
Bakugo32,termixai,1,1
Bakugo32,thamerdridi,1,1
Bakugo32,theagora,1,1
Bakugo32,tim-cotten,1,1
Bakugo32,tokmakoff,1,1
Bakugo32,treza-labs,1,1
Bakugo32,tunnckoCore,1,1
Bakugo32,vincentcaptain,1,3
Bakugo32,vishwa-network,1,1
Bakugo32,vkpatva,1,1
Bakugo32,voidcenter,2,2
Bakugo32,wanderosity,1,1
Bakugo32,wangbin9953,4,4
Bakugo32,weedeej,1,1
Bakugo32,wjmelements,1,1
Bakugo32,wscdcm,2,2
Bakugo32,xhronos444,3,3
Bakugo32,xiaowh7,1,1
Bakugo32,xinbenlv,5,5
Bakugo32,xrow,1,1
Bakugo32,xrqin,6,6
Bakugo32,yehia67,1,1
Bakugo32,zaryab2000,1,1
Bakugo32,zexoverz,2,2
Bakugo32,ziemen4,1,2
Bakugo32,zonu,1,1
BitmineMarine,Cyberpaisa,1,1
BitmineMarine,HermesSubstrate,1,1
BitmineMarine,JackyWang,1,1
BitmineMarine,KBryan,1,1
BitmineMarine,Ludovico.r,1,1
BitmineMarine,Marco-MetaMask,1,1
BitmineMarine,Nicopat,1,1
BitmineMarine,RNWY,1,1
BitmineMarine,SamWilsn,1,1
BitmineMarine,Sentinel,1,1
BitmineMarine,TMerlini,1,1
BitmineMarine,ThoughtProof,1,1
BitmineMarine,Traciecmyers,1,1
BitmineMarine,Trishir,1,1
BitmineMarine,alftom,1,1
BitmineMarine,azanux,1,1
BitmineMarine,babyblueviper1,1,1
BitmineMarine,clawplaza,1,1
BitmineMarine,comeToThinkOfEth,1,1
BitmineMarine,daniel-ospina,1,1
BitmineMarine,davidecrapis.eth,1,1
BitmineMarine,douglasborthwick-crypto,1,1
BitmineMarine,felixnorden,1,1
BitmineMarine,gilbertsahumada,1,1
BitmineMarine,hjs_foundation,1,1
BitmineMarine,ibonon,1,1
BitmineMarine,jdutreve,1,1
BitmineMarine,maceip,1,1
BitmineMarine,mike-diamond,1,1
BitmineMarine,mlegls,1,1
BitmineMarine,mrocker,1,1
BitmineMarine,node0,1,1
BitmineMarine,noemiplatform,1,1
BitmineMarine,nuhgid,1,1
BitmineMarine,pablocactus,1,1
BitmineMarine,pcarranzav,1,1
BitmineMarine,peersky,1,1
BitmineMarine,skilesare,1,1
BitmineMarine,soispoke,1,1
BitmineMarine,treza-labs,1,1
BitmineMarine,xinbenlv,1,1
BitmineMarine,xrqin,1,1
Brooks1003,Clavote,1,1
Brooks1003,Copilot,2,2
Brooks1003,Cybercentry,1,1
Brooks1003,Damonzwicker,2,2
Brooks1003,Dawe000,1,1
Brooks1003,JackyWang,2,2
Brooks1003,JimmyShi22,2,2
Brooks1003,KBryan,1,1
Brooks1003,Ludovico.r,1,1
Brooks1003,Marco-MetaMask,1,1
Brooks1003,McOso,1,1
Brooks1003,MichaelWinczuk,1,1
Brooks1003,Nicopat,2,2
Brooks1003,Nithin-Varma,1,1
Brooks1003,Panini,1,1
Brooks1003,RNWY,1,1
Brooks1003,SamWilsn,2,2
Brooks1003,SumeetChougule,1,1
Brooks1003,SynergeticsAI,1,1
Brooks1003,TMerlini,2,2
Brooks1003,ThoughtProof,2,2
Brooks1003,Traciecmyers,1,1
Brooks1003,Trishir,1,1
Brooks1003,TruthAnchor-AI,1,1
Brooks1003,VincentWu,1,1
Brooks1003,VrilLabs,1,1
Brooks1003,abcoathup,1,1
Brooks1003,agentauditAI,1,1
Brooks1003,alexchenai,1,1
Brooks1003,ant,1,1
Brooks1003,arnieleibnichts,1,1
Brooks1003,azanux,1,1
Brooks1003,babyblueviper1,2,2
Brooks1003,bransdotcom,1,1
Brooks1003,brienteth,1,1
Brooks1003,cadenceprotocol,1,1
Brooks1003,clavote-boop,1,1
Brooks1003,cmayorga,2,2
Brooks1003,cody,1,1
Brooks1003,davidecrapis.eth,2,2
Brooks1003,dcrapis,1,1
Brooks1003,deiu,1,2
Brooks1003,denverbaumgartner,1,1
Brooks1003,douglasborthwick-cry,1,1
Brooks1003,ernestognw,1,1
Brooks1003,freaks,1,1
Brooks1003,gpt3_eth,1,1
Brooks1003,ibonon,1,1
Brooks1003,jithinraj,1,1
Brooks1003,jkm.eth,1,1
Brooks1003,joanna,1,1
Brooks1003,jochem-brouwer,1,2
Brooks1003,jonmross,1,1
Brooks1003,kgyashupal,1,1
Brooks1003,khemiriwalid,1,1
Brooks1003,kimbo128,1,1
Brooks1003,kinglouis,1,1
Brooks1003,mac,1,1
Brooks1003,mgrabina,1,1
Brooks1003,michaelwinczuk,2,2
Brooks1003,micheda,1,1
Brooks1003,mike-diamond,1,1
Brooks1003,miratisu,1,2
Brooks1003,mlegls,1,1
Brooks1003,mrocker,1,1
Brooks1003,mruderman,1,1
Brooks1003,mruderman1,1,1
Brooks1003,nabil-brickken,1,1
Brooks1003,nftprof,1,1
Brooks1003,nicobernad,1,1
Brooks1003,nxt3d,1,1
Brooks1003,opwizardx,1,1
Brooks1003,pablocactus,2,2
Brooks1003,phiraml,1,1
Brooks1003,qinwang-git,1,1
Brooks1003,riza,1,1
Brooks1003,ryanio,1,1
Brooks1003,sebastianwall,1,1
Brooks1003,smolfren,1,1
Brooks1003,spengrah,1,1
Brooks1003,sterlingcrispin,1,1
Brooks1003,ten-io-meta,1,1
Brooks1003,thamerdridi,1,1
Brooks1003,vincentcaptain,1,1
Brooks1003,wangbin9953,1,1
Brooks1003,wjmelements,1,1
Brooks1003,wscdcm,1,1
Brooks1003,xhronos444,1,1
Brooks1003,xinbenlv,1,1
Brooks1003,xrqin,1,1
Brooks1003,yehia67,1,1
