actor_a,actor_b,weight,shared
Boburmirzo,xiongwenxin123,1,1
Boburmirzo,ysxu666,1,1
CAG-nolan,FoolishDreamer,1,1
CAG-nolan,GeunCheolOh,1,1
CAG-nolan,MaoJianwei,1,1
CAG-nolan,abdibrokhim,1,1
CAG-nolan,arislan-lilo,1,2
CAG-nolan,bkowal,1,1
CAG-nolan,bparees,1,1
CAG-nolan,buithehai1994,1,1
CAG-nolan,dukeren,1,1
CAG-nolan,hamidra,1,1
CAG-nolan,justfalter,1,2
CAG-nolan,liar666,1,1
CAG-nolan,lrosenthol,1,1
CAG-nolan,mbleigh,1,1
CAG-nolan,vladkol,1,1
CAG-nolan,wenwenc9,1,1
CAG-nolan,xiongwenxin123,1,1
CAG-nolan,ysxu666,1,1
CHARLIE1210-A,FoolishDreamer,1,1
CHARLIE1210-A,GeunCheolOh,1,1
CHARLIE1210-A,MaoJianwei,1,1
CHARLIE1210-A,abdibrokhim,1,1
CHARLIE1210-A,arislan-lilo,1,2
CHARLIE1210-A,binbandit,1,2
CHARLIE1210-A,bkowal,1,1
CHARLIE1210-A,bparees,1,1
CHARLIE1210-A,buithehai1994,1,1
CHARLIE1210-A,dukeren,1,1
CHARLIE1210-A,hamidra,1,1
CHARLIE1210-A,ishymko,1,2
CHARLIE1210-A,justfalter,1,2
CHARLIE1210-A,liar666,1,1
CHARLIE1210-A,lrosenthol,1,1
CHARLIE1210-A,mbleigh,1,1
CHARLIE1210-A,vladkol,1,1
CHARLIE1210-A,wenwenc9,1,1
CHARLIE1210-A,xiongwenxin123,1,1
CHARLIE1210-A,ysxu666,1,1
CZH-THU,FoolishDreamer,1,1
CZH-THU,GeunCheolOh,1,1
CZH-THU,MaoJianwei,1,1
CZH-THU,abdibrokhim,1,1
CZH-THU,arislan-lilo,1,1
CZH-THU,bkowal,1,1
CZH-THU,bparees,1,1
CZH-THU,buithehai1994,1,1
CZH-THU,dukeren,1,1
CZH-THU,hamidra,1,1
CZH-THU,justfalter,1,1
CZH-THU,liar666,1,1
CZH-THU,lrosenthol,1,1
CZH-THU,mbleigh,1,1
CZH-THU,vladkol,1,1
CZH-THU,wenwenc9,1,1
CZH-THU,xiongwenxin123,1,1
CZH-THU,ysxu666,1,1
CakeCrusher,FoolishDreamer,1,1
CakeCrusher,GeunCheolOh,1,1
CakeCrusher,MaoJianwei,1,1
CakeCrusher,abdibrokhim,1,1
CakeCrusher,arislan-lilo,1,2
CakeCrusher,binbandit,1,2
CakeCrusher,bkowal,1,1
CakeCrusher,bparees,1,1
CakeCrusher,buithehai1994,1,1
CakeCrusher,dukeren,1,1
CakeCrusher,hamidra,1,1
CakeCrusher,ishymko,1,2
CakeCrusher,justfalter,1,2
CakeCrusher,liar666,1,1
CakeCrusher,lrosenthol,1,1
CakeCrusher,mbleigh,1,1
CakeCrusher,vladkol,1,1
CakeCrusher,wenwenc9,1,1
CakeCrusher,xiongwenxin123,1,1
CakeCrusher,ysxu666,1,1
Camusama,FoolishDreamer,1,1
Camusama,GeunCheolOh,1,1
Camusama,MaoJianwei,1,1
Camusama,abdibrokhim,1,1
Camusama,arislan-lilo,1,1
Camusama,bkowal,1,1
Camusama,bparees,1,1
Camusama,buithehai1994,1,1
Camusama,dukeren,1,1
Camusama,hamidra,1,1
Camusama,justfalter,1,1
Camusama,liar666,1,1
Camusama,lrosenthol,1,1
Camusama,mbleigh,1,1
Camusama,vladkol,1,1
Camusama,wenwenc9,1,1
Camusama,xiongwenxin123,1,1
Camusama,ysxu666,1,1
Copilot,FoolishDreamer,1,1
Copilot,GeunCheolOh,1,1
Copilot,MaoJianwei,1,1
Copilot,abdibrokhim,1,1
Copilot,arislan-lilo,1,2
Copilot,bkowal,1,1
Copilot,bparees,1,1
Copilot,buithehai1994,1,1
Copilot,dukeren,1,1
Copilot,hamidra,1,1
