author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
alantriesagain,0,1,1,0,0,0,0,0,0,0,0,0
alanyst,0,3,0,0,0,0,0,0,0,0,0,0
alexbainbridge,0,0,0,1,0,0,0,0,0,0,0,0
alexec,0,3,5,0,0,1,3,0,2,0,1,0
alextibbles,0,0,0,1,0,0,0,1,0,0,0,0
ali-0407,0,1,0,0,0,0,0,0,0,0,0,0
alinaqi,0,0,1,0,0,0,0,0,0,0,0,0
amin-nikanjam,0,0,1,0,0,0,0,0,0,0,0,0
amye,14,8,8,2,0,0,0,1,5,2,0,0
andorsk,0,0,0,1,0,0,0,0,0,0,0,0
andreibesleaga,0,0,0,0,1,3,0,0,0,0,0,0
andrewdavidmackenzie,0,0,2,0,0,0,0,0,0,0,0,0
andy1213aa,0,0,0,0,1,0,0,0,0,0,0,0
anjanas,0,1,0,0,0,0,0,1,0,0,0,0
annicode01,0,0,0,0,0,0,0,0,0,0,3,0
architectureofthings,1,0,0,0,0,3,0,0,0,0,0,0
arislan-lilo,0,4,0,0,0,0,0,0,0,0,0,0
arunim1,0,0,0,0,0,0,0,0,0,0,0,1
ashubham,0,1,0,0,0,0,0,0,0,0,0,0
ashwin63,0,0,1,0,0,0,0,0,0,0,0,0
austin-tral,0,0,1,0,0,0,0,0,0,0,0,0
austinmyc,0,1,0,0,0,0,0,0,0,0,0,0
automateyournetwork,0,0,0,2,0,0,0,0,0,0,0,0
aviaviavi,0,0,0,0,0,0,1,0,0,0,0,0
awickham10,0,1,0,1,0,0,0,0,0,0,0,0
azyobuzin,0,2,0,0,0,0,0,0,0,0,0,0
barnendu,0,0,0,4,0,0,0,0,0,0,0,0
batprem,0,0,1,0,0,0,0,0,0,0,0,0
beauduffy,0,1,0,0,0,0,0,0,0,0,0,0
benclarkeio,1,2,6,0,0,2,0,0,0,0,3,0
beonde,0,1,3,1,0,0,0,3,0,0,1,0
bgauryy,0,0,0,0,0,0,0,2,0,0,0,0
bigmac7,0,0,1,0,0,0,0,0,0,0,0,0
binbandit,0,0,2,0,3,0,0,0,0,0,1,0
birdayz,0,1,0,0,0,0,0,0,0,0,0,0
bittr-oss,0,1,1,0,0,0,0,0,0,0,0,0
bkowal,0,2,0,0,0,0,0,0,0,0,0,0
blakebrannon,0,0,1,0,0,0,0,0,0,0,0,0
blkt,0,3,0,1,0,0,0,0,0,0,0,0
bobtista,0,2,4,0,0,1,0,0,0,0,0,0
borisalekseev,0,0,0,0,0,1,0,0,0,0,0,0
bparees,0,1,0,0,0,1,0,0,0,0,0,0
brasseld,1,0,0,0,0,0,0,0,0,0,0,0
brunogrbavac,0,0,2,0,0,0,0,0,0,0,0,0
brycewcole,0,3,1,0,0,0,0,0,0,0,0,0
buddha314,0,1,0,1,0,0,0,0,0,0,0,0
bufdev,0,0,0,0,0,0,0,0,1,0,0,0
buithehai1994,0,0,0,0,0,0,0,0,0,0,1,0
bustosjuan,0,0,0,0,0,1,0,0,0,0,0,0
c-mysec,0,6,2,3,0,2,1,0,0,0,0,0
cardioailive1,0,1,0,0,0,0,0,0,0,0,0,0
carlesarnal,0,0,1,0,0,0,0,0,0,0,0,0
cciwami,0,0,1,0,0,0,0,0,0,0,0,0
cdavernas,1,5,4,1,0,0,0,0,0,0,0,0
chendatony31,0,0,1,0,0,0,0,0,0,0,0,0
chicogong,0,0,1,0,0,0,0,0,0,0,0,0
chl1123,0,1,0,0,0,0,0,0,0,0,0,0
chorghemaruti64-creator,0,5,11,9,0,3,0,12,2,0,0,6
cj2a7t,0,1,0,0,0,0,0,0,0,0,0,0
cled,0,0,0,1,0,0,0,0,0,0,0,0
clintwar,0,0,0,0,0,0,0,1,0,0,0,0
codefromthecrypt,0,2,2,0,0,0,1,0,1,0,0,0
coyotwill,0,0,0,0,0,0,0,0,1,0,0,0
ctorrao,0,0,0,0,0,1,0,0,0,0,0,0
daavoo,1,1,0,2,0,0,1,0,0,0,0,0
daltonnyx,0,2,0,0,1,2,0,0,0,0,0,0
danbri,0,0,0,1,0,0,0,1,0,0,0,0
danieldai,0,1,0,0,0,0,0,0,0,0,0,0
danja,0,0,1,0,0,1,0,0,0,0,0,0
darkhaniop,6,29,6,11,3,3,4,2,1,3,0,0
darrelmiller,35,110,12,44,2,24,5,12,30,3,1,0
dasiths,0,0,0,0,0,0,0,1,0,0,0,0
davidlivekoo2012,0,1,0,0,0,2,3,2,0,0,0,0
davrous,0,0,0,0,1,0,0,0,0,0,0,0
dayuyang1999,0,1,1,0,0,1,0,0,0,0,0,0
dbkalaria,0,0,1,0,0,0,0,0,0,0,0,0
dchrty,0,0,1,0,1,0,0,0,0,0,0,0
debug313,0,0,1,0,0,0,0,0,0,0,0,0
decode-mayank,0,0,2,0,0,0,0,0,0,0,0,0
deepakskhetwal,0,0,2,0,0,0,0,1,0,0,0,0
developer-dexwox,0,0,1,0,0,0,0,0,0,0,0,0
devsodhirao,0,0,0,0,0,0,0,1,0,0,0,0
dfdumaresq,0,0,0,0,0,0,0,6,0,0,0,0
dgenio,0,4,1,2,0,0,1,0,2,0,1,0
dhaan-ish,1,0,0,0,0,0,0,0,0,0,0,0
dhdanie,0,2,1,0,0,0,0,1,0,0,0,0
dibenedetto,0,0,1,0,0,0,0,0,0,0,0,0
didier-durand,1,16,3,2,1,0,2,1,0,0,0,0
dinesh707,0,0,2,0,0,5,0,0,2,0,0,0
djsamseng,0,10,4,0,0,2,1,0,1,0,0,0
dmandar,1,5,1,0,0,4,3,9,0,1,0,0
dongyunpeng-sjtu,0,1,0,0,0,0,0,0,0,0,0,0
douglasborthwick-crypto,0,0,1,0,0,0,0,4,0,0,0,5
ducknificient,0,2,0,1,0,0,0,0,0,0,0,0
duglin,0,0,1,0,0,0,0,0,0,0,0,0
dukeren,0,0,0,0,0,0,0,0,0,0,1,0
dylang,0,1,0,0,0,0,0,0,0,0,0,0
e1327906,0,1,0,0,0,0,0,0,0,0,0,0
edenreich,3,8,6,3,1,0,5,1,3,1,0,0
egor-baranov,0,0,0,0,2,5,1,0,0,0,0,0
ehsavoie,1,4,0,0,0,0,0,0,0,0,0,0
eilon-shai,0,0,2,0,0,0,0,0,0,0,0,0
elCaptnCode,1,0,1,0,0,0,0,0,0,0,0,0
electrocucaracha,0,0,1,0,0,0,0,0,0,0,0,0
elevenarms,0,1,0,0,0,0,0,0,0,0,0,0
eli-osherovich,0,0,0,3,0,0,0,0,0,0,0,0
ericksonc,0,0,0,0,0,0,0,1,0,0,0,0
ethlaude,0,1,0,0,0,0,0,0,0,0,0,0
everettVT,0,2,1,0,0,1,0,0,1,0,0,0
f,0,0,1,0,0,0,0,0,0,0,0,0
fapont,0,0,1,0,0,0,0,0,0,0,0,0
felix-schultz,0,1,0,0,0,0,0,0,0,0,0,0
fernando-torres-blip-ai,1,0,3,0,0,0,0,0,0,0,0,0
fhinkel,0,0,0,0,0,0,0,0,0,1,0,0
fjuma,0,4,0,0,0,0,0,0,0,0,0,0
flex-myeonghyeon,0,0,0,0,0,0,0,0,2,0,0,0
flystar32,0,1,0,0,0,0,0,0,0,0,0,0
freedeaths,0,0,0,0,0,1,0,0,0,0,0,0
fryfry33,1,0,0,0,0,0,0,0,0,0,0,0
fwklucznik,0,0,1,0,0,0,0,0,0,0,0,0
gNtino,0,1,3,0,0,1,0,0,0,0,0,0
gabayben,0,1,0,0,0,0,0,0,0,0,0,0
gagb,0,2,0,0,0,1,1,0,0,0,0,0
gate4ai-alex,0,0,0,0,1,0,0,0,0,0,0,0
geneknit,1,0,1,0,0,0,0,0,0,0,0,0
ghostdoglzd,0,2,0,0,0,0,0,0,0,0,0,0
gianpaj,0,1,0,0,0,0,0,0,0,0,0,0
gijswalraven,0,15,0,0,0,0,0,0,0,0,0,0
gilamsalem,0,0,2,0,0,0,0,0,0,0,0,0
giovanni-velais,1,0,0,0,0,0,0,0,0,0,0,0
git-vote,19,1,1,2,0,0,0,0,2,0,0,0
glushenkovIG,0,1,0,0,0,0,0,0,0,0,0,0
gpanakkal,0,0,0,1,0,0,0,0,1,0,0,0
graemefoster,0,1,2,0,0,1,0,0,0,0,0,0
